iso_code,continent,location,date,new_cases
VNM,Asia,Vietnam,2021/5/12,87
VNM,Asia,Vietnam,2021/5/13,82
VNM,Asia,Vietnam,2021/5/14,76
VNM,Asia,Vietnam,2021/5/15,296
VNM,Asia,Vietnam,2021/5/16,100
VNM,Asia,Vietnam,2021/5/17,147
VNM,Asia,Vietnam,2021/5/18,153
VNM,Asia,Vietnam,2021/5/19,208
VNM,Asia,Vietnam,2021/5/20,89
VNM,Asia,Vietnam,2021/5/21,132
VNM,Asia,Vietnam,2021/5/22,178
VNM,Asia,Vietnam,2021/5/23,156
VNM,Asia,Vietnam,2021/5/24,129
VNM,Asia,Vietnam,2021/5/25,527
VNM,Asia,Vietnam,2021/5/26,155
VNM,Asia,Vietnam,2021/5/27,270
VNM,Asia,Vietnam,2021/5/28,40
VNM,Asia,Vietnam,2021/5/29,512
VNM,Asia,Vietnam,2021/5/30,199
VNM,Asia,Vietnam,2021/5/31,325
VNM,Asia,Vietnam,2021/6/1,193
VNM,Asia,Vietnam,2021/6/2,245
VNM,Asia,Vietnam,2021/6/3,193
VNM,Asia,Vietnam,2021/6/4,301
VNM,Asia,Vietnam,2021/6/5,216
VNM,Asia,Vietnam,2021/6/6,211
VNM,Asia,Vietnam,2021/6/7,236
VNM,Asia,Vietnam,2021/6/8,195
VNM,Asia,Vietnam,2021/6/9,413
VNM,Asia,Vietnam,2021/6/10,200
VNM,Asia,Vietnam,2021/6/11,213
VNM,Asia,Vietnam,2021/6/12,289
VNM,Asia,Vietnam,2021/6/13,293
VNM,Asia,Vietnam,2021/6/14,251
VNM,Asia,Vietnam,2021/6/15,423
VNM,Asia,Vietnam,2021/6/16,490
VNM,Asia,Vietnam,2021/6/17,356
VNM,Asia,Vietnam,2021/6/18,358
VNM,Asia,Vietnam,2021/6/19,470
VNM,Asia,Vietnam,2021/6/20,280
VNM,Asia,Vietnam,2021/6/21,272
VNM,Asia,Vietnam,2021/6/22,252
VNM,Asia,Vietnam,2021/6/23,207
VNM,Asia,Vietnam,2021/6/24,334
VNM,Asia,Vietnam,2021/6/25,214
VNM,Asia,Vietnam,2021/6/26,788
VNM,Asia,Vietnam,2021/6/27,415
VNM,Asia,Vietnam,2021/6/28,396
VNM,Asia,Vietnam,2021/6/29,371
VNM,Asia,Vietnam,2021/6/30,545
VNM,Asia,Vietnam,2021/7/1,675
VNM,Asia,Vietnam,2021/7/2,394
VNM,Asia,Vietnam,2021/7/3,1189
VNM,Asia,Vietnam,2021/7/4,951
VNM,Asia,Vietnam,2021/7/5,1051
VNM,Asia,Vietnam,2021/7/6,1029
VNM,Asia,Vietnam,2021/7/7,1044
VNM,Asia,Vietnam,2021/7/8,1425
VNM,Asia,Vietnam,2021/7/9,1798
VNM,Asia,Vietnam,2021/7/10,1862
VNM,Asia,Vietnam,2021/7/11,2008
VNM,Asia,Vietnam,2021/7/12,2187
VNM,Asia,Vietnam,2021/7/13,2744
VNM,Asia,Vietnam,2021/7/14,2830
VNM,Asia,Vietnam,2021/7/15,4049
VNM,Asia,Vietnam,2021/7/16,4004
VNM,Asia,Vietnam,2021/7/17,4710
VNM,Asia,Vietnam,2021/7/18,4843
VNM,Asia,Vietnam,2021/7/19,4335
VNM,Asia,Vietnam,2021/7/20,5427
VNM,Asia,Vietnam,2021/7/21,5537
VNM,Asia,Vietnam,2021/7/22,7125
VNM,Asia,Vietnam,2021/7/23,8688
VNM,Asia,Vietnam,2021/7/24,7956
VNM,Asia,Vietnam,2021/7/25,6260
VNM,Asia,Vietnam,2021/7/26,5174
VNM,Asia,Vietnam,2021/7/27,10774
VNM,Asia,Vietnam,2021/7/28,6519
VNM,Asia,Vietnam,2021/7/29,9765
VNM,Asia,Vietnam,2021/7/30,7717
VNM,Asia,Vietnam,2021/7/31,8938
VNM,Asia,Vietnam,2021/8/1,7447
VNM,Asia,Vietnam,2021/8/2,0
VNM,Asia,Vietnam,2021/8/3,16954
VNM,Asia,Vietnam,2021/8/4,7295
VNM,Asia,Vietnam,2021/8/5,7310
VNM,Asia,Vietnam,2021/8/6,4315
VNM,Asia,Vietnam,2021/8/7,12275
VNM,Asia,Vietnam,2021/8/8,9904
VNM,Asia,Vietnam,2021/8/9,9334
VNM,Asia,Vietnam,2021/8/10,8043
VNM,Asia,Vietnam,2021/8/11,8606
VNM,Asia,Vietnam,2021/8/12,5025
VNM,Asia,Vietnam,2021/8/13,9180
VNM,Asia,Vietnam,2021/8/14,9716
VNM,Asia,Vietnam,2021/8/15,9580
VNM,Asia,Vietnam,2021/8/16,8652
VNM,Asia,Vietnam,2021/8/17,9605
VNM,Asia,Vietnam,2021/8/18,8800
VNM,Asia,Vietnam,2021/8/19,10510
VNM,Asia,Vietnam,2021/8/20,10657
VNM,Asia,Vietnam,2021/8/21,13439
VNM,Asia,Vietnam,2021/8/22,11352
VNM,Asia,Vietnam,2021/8/23,10397
VNM,Asia,Vietnam,2021/8/24,10811
VNM,Asia,Vietnam,2021/8/25,12096
VNM,Asia,Vietnam,2021/8/26,11575
VNM,Asia,Vietnam,2021/8/27,17428
VNM,Asia,Vietnam,2021/8/28,12103
VNM,Asia,Vietnam,2021/8/29,12796
VNM,Asia,Vietnam,2021/8/30,14224
VNM,Asia,Vietnam,2021/8/31,12607
VNM,Asia,Vietnam,2021/9/1,11434
VNM,Asia,Vietnam,2021/9/2,13197
VNM,Asia,Vietnam,2021/9/3,14922
VNM,Asia,Vietnam,2021/9/4,9521
VNM,Asia,Vietnam,2021/9/5,13137
VNM,Asia,Vietnam,2021/9/6,12481
VNM,Asia,Vietnam,2021/9/7,14208
VNM,Asia,Vietnam,2021/9/8,12680
VNM,Asia,Vietnam,2021/9/9,12420
VNM,Asia,Vietnam,2021/9/10,13321
VNM,Asia,Vietnam,2021/9/11,11932
VNM,Asia,Vietnam,2021/9/12,12026
VNM,Asia,Vietnam,2021/9/13,11172
VNM,Asia,Vietnam,2021/9/14,10508
VNM,Asia,Vietnam,2021/9/15,10585
